YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-8.9,-4.3,-0.1,11.6,14.1,17.6,20.5,17.4,14.4,11.2,5.2,0.4,-6.1,8.5,18.5,10.3,7.79
1881,-5.9,-3.6,4.3,9.1,14.6,17.1,19.9,20.7,14.3,8.9,0.9,-3.6,-3.0,9.3,19.2,8.0,8.39
1882,-2.9,-2.6,7.4,10.5,14.5,16.6,21.0,17.7,16.5,10.0,4.9,1.7,-3.0,10.8,18.4,10.5,9.17
1883,-4.9,-3.4,-0.7,6.7,14.8,19.3,20.6,18.8,15.8,9.8,4.4,-3.5,-2.2,6.9,19.6,10.0,8.57
1884,-3.2,0.7,4.0,9.2,15.6,16.5,18.8,17.7,14.1,8.6,-1.9,-0.3,-2.0,9.6,17.7,6.9,8.05
1885,-3.5,0.1,4.5,11.8,14.4,18.8,19.8,18.0,15.1,11.9,4.9,-4.5,-1.2,10.2,18.9,10.6,9.62
1886,1.0,0.1,2.0,10.6,14.4,17.7,18.3,19.2,15.5,10.0,3.7,2.9,-1.1,9.0,18.4,9.7,9.00
1887,-1.1,-5.2,3.3,9.4,16.2,15.8,21.3,19.1,16.7,9.4,5.6,-1.6,-1.1,9.6,18.7,10.6,9.45
1888,-11.0,-4.8,6.1,9.7,15.0,18.3,20.2,19.6,16.7,9.8,-0.6,-1.0,-5.8,10.3,19.4,8.6,8.12
1889,-3.9,-0.9,3.2,9.7,17.3,18.9,20.8,20.1,13.0,13.2,3.8,-6.8,-1.9,10.1,19.9,10.0,9.52
1890,-3.0,-9.6,4.6,11.9,16.0,15.9,21.4,22.4,13.8,9.3,7.0,-2.5,-6.5,10.8,19.9,10.0,8.57
1891,-5.8,-6.4,4.8,6.9,17.6,18.2,20.0,20.3,16.0,10.4,4.4,-1.3,-4.9,9.8,19.5,10.3,8.66
1892,-1.9,0.1,3.9,11.1,15.4,18.7,18.9,21.1,18.7,11.5,0.9,-4.2,-1.0,10.1,19.6,10.4,9.76
1893,-11.0,-1.0,2.3,6.6,13.7,17.8,20.4,18.4,14.9,10.9,4.8,-1.1,-5.4,7.5,18.9,10.2,7.80
1894,-6.7,-3.3,4.2,11.6,15.1,16.4,22.7,19.1,13.5,11.8,2.3,-2.4,-3.7,10.3,19.4,9.2,8.80
1895,-0.8,-4.7,2.4,9.0,13.9,17.7,21.6,19.2,14.7,11.1,4.0,-0.7,-2.6,8.4,19.5,9.9,8.81
1896,-11.8,-1.9,6.0,6.9,14.3,18.2,20.5,20.1,16.6,14.6,3.1,0.1,-4.8,9.1,19.6,11.4,8.82
1897,-1.6,-1.1,5.5,10.4,14.7,18.3,20.8,20.5,16.5,7.7,-1.5,-4.3,-0.9,10.2,19.9,7.6,9.19
1898,-4.3,0.1,4.6,11.5,15.8,19.1,19.8,19.8,13.9,12.1,5.7,-1.4,-2.8,10.6,19.6,10.6,9.48
1899,-1.1,0.7,1.8,11.4,16.6,17.1,19.8,17.8,15.2,7.2,1.9,-2.6,-0.6,9.9,18.2,8.1,8.92
1900,0.9,4.4,0.4,9.8,15.0,18.2,21.1,19.2,15.4,11.1,6.5,0.5,0.9,8.4,19.5,11.0,9.95
1901,-9.0,-2.9,6.6,9.2,15.2,18.5,19.2,17.5,13.7,9.8,0.8,2.4,-3.8,10.3,18.4,8.1,8.26
1902,-0.7,2.7,3.2,8.4,11.4,16.7,17.8,18.4,14.0,10.1,-1.7,-7.0,1.5,7.7,17.6,7.5,8.56
1903,-3.3,-0.2,5.3,7.9,13.8,16.7,18.3,17.4,14.3,9.3,5.3,1.3,-3.5,9.0,17.5,9.6,8.15
1904,-5.8,2.7,3.3,9.0,13.9,17.3,19.5,18.1,13.2,10.0,-0.3,-0.8,-0.6,8.7,18.3,7.6,8.52
1905,-7.6,-4.4,4.3,7.6,15.2,17.4,19.9,20.5,15.1,7.0,6.1,-1.4,-4.3,9.0,19.3,9.4,8.36
1906,-3.5,1.1,4.7,10.4,14.9,17.4,19.5,17.6,13.3,8.4,6.3,-1.6,-1.3,10.0,18.2,9.3,9.06
1907,-5.9,-4.9,-2.1,7.5,17.8,18.2,18.8,18.5,13.7,12.7,2.3,0.6,-4.1,7.7,18.5,9.6,7.92
1908,-3.5,-0.1,4.2,9.2,17.3,19.8,19.1,18.2,13.4,7.6,-1.4,-2.6,-1.0,10.2,19.0,6.5,8.70
1909,-8.2,-7.9,5.3,9.9,14.9,17.5,20.0,20.9,16.2,10.0,2.7,2.1,-6.2,10.0,19.5,9.6,8.22
1910,-1.0,3.6,3.6,9.5,15.3,18.3,18.9,18.8,15.0,8.6,3.1,1.1,1.6,9.5,18.7,8.9,9.65
1911,-1.5,-5.2,4.0,9.6,15.5,17.4,19.1,18.8,14.0,9.4,5.7,0.4,-1.9,9.7,18.4,9.7,8.99
1912,-7.5,2.5,7.3,7.4,13.5,18.7,19.0,17.5,12.0,7.1,2.5,0.0,-1.5,9.4,18.4,7.2,8.37
1913,-3.5,-4.7,6.3,10.1,13.9,16.9,16.9,16.8,14.7,8.6,3.8,-0.5,-2.7,10.1,16.9,9.0,8.32
1914,-7.6,-4.5,5.4,10.0,14.1,16.9,19.1,18.3,12.7,7.3,1.7,0.4,-4.2,9.8,18.1,7.2,7.74
1915,1.3,1.2,2.5,8.8,14.9,19.6,19.4,16.5,11.9,9.6,1.6,3.4,1.0,8.7,18.5,7.7,8.97
1916,0.2,-1.4,8.1,9.5,14.0,18.0,19.3,17.3,13.2,9.7,6.4,3.5,0.7,10.5,18.2,9.8,9.81
