YEAR,MONTH,TEMP
1880,1,-8.9
1880,2,-4.3
1880,3,-0.1
1880,4,11.6
1880,5,14.1
1880,6,17.6
1880,7,20.5
1880,8,17.4
1880,9,14.4
1880,10,11.2
1880,11,5.2
1880,12,0.4
1880,13,-6.1
1880,14,8.5
1880,15,18.5
1880,16,10.3
1880,17,7.79
1881,1,-5.9
1881,2,-3.6
1881,3,4.3
1881,4,9.1
1881,5,14.6
1881,6,17.1
1881,7,19.9
1881,8,20.7
1881,9,14.3
1881,10,8.9
1881,11,0.9
1881,12,-3.6
1881,13,-3
1881,14,9.3
1881,15,19.2
1881,16,8
1881,17,8.39
1882,1,-2.9
1882,2,-2.6
1882,3,7.4
1882,4,10.5
1882,5,14.5
1882,6,16.6
1882,7,21
1882,8,17.7
1882,9,16.5
1882,10,10
1882,11,4.9
1882,12,1.7
1882,13,-3
1882,14,10.8
1882,15,18.4
1882,16,10.5
1882,17,9.17
1883,1,-4.9
1883,2,-3.4
1883,3,-0.7
1883,4,6.7
1883,5,14.8
1883,6,19.3
1883,7,20.6
1883,8,18.8
1883,9,15.8
1883,10,9.8
1883,11,4.4
1883,12,-3.5
1883,13,-2.2
1883,14,6.9
1883,15,19.6
1883,16,10
1883,17,8.57
1884,1,-3.2
1884,2,0.7
1884,3,4
1884,4,9.2
1884,5,15.6
1884,6,16.5
1884,7,18.8
1884,8,17.7
1884,9,14.1
1884,10,8.6
1884,11,-1.9
1884,12,-0.3
1884,13,-2
1884,14,9.6
1884,15,17.7
1884,16,6.9
1884,17,8.05
1885,1,-3.5
1885,2,0.1
1885,3,4.5
1885,4,11.8
1885,5,14.4
1885,6,18.8
1885,7,19.8
1885,8,18
1885,9,15.1
1885,10,11.9
1885,11,4.9
1885,12,-4.5
1885,13,-1.2
1885,14,10.2
1885,15,18.9
1885,16,10.6
1885,17,9.62
1886,1,1
1886,2,0.1
1886,3,2
1886,4,10.6
1886,5,14.4
1886,6,17.7
1886,7,18.3
1886,8,19.2
1886,9,15.5
1886,10,10
1886,11,3.7
1886,12,2.9
1886,13,-1.1
1886,14,9
1886,15,18.4
1886,16,9.7
1886,17,9
1887,1,-1.1
1887,2,-5.2
1887,3,3.3
1887,4,9.4
1887,5,16.2
1887,6,15.8
1887,7,21.3
1887,8,19.1
1887,9,16.7
1887,10,9.4
1887,11,5.6
1887,12,-1.6
1887,13,-1.1
1887,14,9.6
1887,15,18.7
1887,16,10.6
1887,17,9.45
1888,1,-11
1888,2,-4.8
1888,3,6.1
1888,4,9.7
1888,5,15
1888,6,18.3
1888,7,20.2
1888,8,19.6
1888,9,16.7
1888,10,9.8
1888,11,-0.6
1888,12,-1
1888,13,-5.8
1888,14,10.3
1888,15,19.4
1888,16,8.6
1888,17,8.12
1889,1,-3.9
1889,2,-0.9
1889,3,3.2
1889,4,9.7
1889,5,17.3
1889,6,18.9
1889,7,20.8
1889,8,20.1
1889,9,13
1889,10,13.2
1889,11,3.8
1889,12,-6.8
1889,13,-1.9
1889,14,10.1
1889,15,19.9
1889,16,10
1889,17,9.52
1890,1,-3
1890,2,-9.6
1890,3,4.6
1890,4,11.9
1890,5,16
1890,6,15.9
1890,7,21.4
1890,8,22.4
