HAND,XCOORD,YCOORD
1,1.0035,0.46187
1,0.93228,0.39066
1,0.86911,0.32616
1,0.77503,0.22404
1,0.74949,0.17567
1,0.71589,0.12865
1,0.69035,0.12999
1,0.6675,0.14611
1,0.67019,0.2133
1,0.69573,0.2657
1,0.74277,0.35572
1,0.72798,0.42156
1,0.64465,0.44843
1,0.48336,0.41081
1,0.36508,0.37722
1,0.33148,0.37184
1,0.29116,0.37184
1,0.27099,0.38931
1,0.27099,0.41887
1,0.30863,0.44171
1,0.34492,0.45112
1,0.46185,0.49277
1,0.55997,0.55324
1,0.44707,0.57876
1,0.31401,0.60564
1,0.26965,0.61504
1,0.23202,0.62445
1,0.21723,0.66207
1,0.23336,0.68894
1,0.28309,0.6876
1,0.32745,0.67551
1,0.45917,0.6661
1,0.56804,0.66341
1,0.50352,0.72791
1,0.39331,0.79778
1,0.3597,0.81256
1,0.32745,0.8354
1,0.32745,0.87168
1,0.3503,0.8878
1,0.39062,0.87571
1,0.41884,0.85958
1,0.54788,0.79912
1,0.63927,0.76419
1,0.60164,0.82599
1,0.55325,0.87436
1,0.51427,0.90527
1,0.49142,0.93751
1,0.4968,0.9617
1,0.51696,0.96842
1,0.5546,0.95229
1,0.59895,0.92542
1,0.65272,0.87302
1,0.74008,0.81659
1,0.81938,0.79912
1,0.91212,0.783
1,0.99142,0.75612
2,1.0442,0.46495
2,0.9508,0.37552
2,0.87822,0.31159
2,0.74952,0.2317
2,0.70908,0.19196
2,0.65869,0.16339
2,0.63473,0.1688
2,0.61759,0.19958
2,0.63676,0.25741
2,0.68281,0.29859
2,0.77066,0.38516
2,0.738,0.41861
2,0.66328,0.43763
2,0.4976,0.40381
2,0.37969,0.37604
2,0.33056,0.36435
2,0.29255,0.36823
2,0.27125,0.38914
2,0.27523,0.41729
2,0.31583,0.43876
2,0.37195,0.45472
2,0.47291,0.49078
2,0.57369,0.54652
2,0.45522,0.58061
2,0.32137,0.60614
2,0.27345,0.61696
2,0.22684,0.63763
2,0.22094,0.66852
2,0.23337,0.69394
2,0.28261,0.69438
2,0.33896,0.68363
2,0.46991,0.66934
2,0.58249,0.66471
2,0.51029,0.7161
2,0.39302,0.77411
2,0.35773,0.78786
2,0.31391,0.81137
2,0.31218,0.84791
2,0.34012,0.86926
2,0.38105,0.85416
2,0.41915,0.84043
2,0.55459,0.79524
2,0.64631,0.76231
2,0.60646,0.81539
2,0.54837,0.86127
2,0.50454,0.8876
2,0.47185,0.92387
2,0.48009,0.94785
2,0.50391,0.9579
2,0.53777,0.94555
2,0.58583,0.91926
2,0.65378,0.87206
2,0.75271,0.81951
2,0.84143,0.80765
2,0.94707,0.79312
2,1.043,0.76445
3,1.0783,0.4545
3,0.97755,0.3645
3,0.88535,0.2953
3,0.74863,0.23882
3,0.68702,0.20401
3,0.64,0.1827
3,0.60735,0.19261
3,0.60096,0.22798
3,0.62255,0.2726
3,0.70016,0.32682
3,0.78222,0.38112
3,0.74784,0.41021
3,0.66922,0.43132
3,0.50105,0.40545
3,0.37419,0.38603
3,0.3255,0.37948
3,0.27665,0.38474
3,0.26308,0.40524
3,0.26418,0.43333
3,0.31114,0.45908
3,0.36427,0.4657
3,0.48354,0.49979
3,0.58645,0.54253
3,0.46185,0.57485
3,0.31815,0.59955
3,0.26626,0.61068
3,0.22171,0.62634
3,0.21238,0.66167
3,0.22828,0.68849
3,0.2815,0.68772
3,0.33336,0.67806
3,0.47541,0.66665
3,0.59372,0.66231
3,0.5177,0.71006
3,0.40472,0.7588
3,0.34684,0.77576
3,0.30069,0.80027
3,0.30028,0.8313
3,0.32212,0.8567
3,0.37251,0.84702
3,0.42596,0.82853
3,0.54762,0.79468
3,0.66331,0.76519
3,0.61243,0.8118
3,0.54983,0.85086
3,0.49777,0.87529
3,0.45888,0.91024
3,0.46595,0.93398
3,0.485,0.94604
3,0.52502,0.93771
3,0.58296,0.91632
3,0.65294,0.87735
3,0.77331,0.82872
3,0.87251,0.81673
3,0.97911,0.80337
3,1.0786,0.76776
4,1.1204,0.43764
4,1.003,0.34211
4,0.90638,0.28432
4,0.73568,0.24908
4,0.66925,0.22582
4,0.60291,0.21834
4,0.58247,0.23109
4,0.57797,0.26898
4,0.62565,0.32234
4,0.69212,0.35033
4,0.79648,0.38125
4,0.74772,0.40995
4,0.68623,0.42138
4,0.50149,0.4083
4,0.36725,0.39809
4,0.30883,0.39372
4,0.26155,0.40504
4,0.24117,0.42884
4,0.2524,0.45876
4,0.30304,0.48054
4,0.3662,0.48488
4,0.48632,0.50781
4,0.60489,0.54022
4,0.46776,0.57104
4,0.31324,0.59724
4,0.25649,0.61021
4,0.21238,0.62468
4,0.20158,0.66419
4,0.21912,0.69407
4,0.27434,0.69057
4,0.33111,0.68075
4,0.48417,0.6735
4,0.62461,0.66633
4,0.52528,0.68587
4,0.40082,0.72293
4,0.33931,0.73119
4,0.29049,0.75043
4,0.2844,0.78518
4,0.30195,0.81663
4,0.35717,0.81156
4,0.41393,0.80174
4,0.55269,0.7788
4,0.68363,0.76695
4,0.62705,0.80833
4,0.55152,0.84508
4,0.49641,0.86593
4,0.45708,0.88984
4,0.4557,0.9214
4,0.47633,0.93863
4,0.52367,0.93519
4,0.58196,0.91748
4,0.66539,0.88225
4,0.79775,0.84356
4,0.89713,0.83506
4,0.99804,0.81551
4,1.124,0.77371
5,1.1234,0.43361
5,1.0072,0.34335
5,0.90081,0.28453
5,0.73947,0.25313
5,0.67132,0.22862
5,0.60651,0.21826
5,0.5814,0.23273
