x,y,k
-0.36273476,-0.03003287,1
-0.19788622,-0.01479966,1
-0.06533481,-0.01564985,2
0.1159273,-0.00934947,2
0.1139199,-0.00486681,2
0.50858274,-0.22398832,3
0.14191212,0.01903032,2
0.08757014,0.01844983,2
-0.0284531,0.16468906,2
-0.25294777,-0.22607334,1
-0.41438994,-0.01898872,1
-0.19405114,-0.05264623,1
0.03169398,-0.04303378,2
0.22841291,-0.02847918,2
0.36053013,-0.09157883,3
0.48534316,-0.21290459,3
-0.22018978,0.01377891,1
0.08622223,0.13259871,2
-0.13156124,0.13147828,2
-0.15094812,0.05016439,1
-0.44661432,0.01416537,1
-0.13404586,0.05908271,2
0.0093915,0.07582225,2
0.21762946,-0.01350732,2
0.32761063,-0.13456273,3
0.43579748,-0.1937768,3
0.030914,0.25347662,2
-0.16303073,-0.14246252,1
-0.15591603,-0.05205692,1
-0.05198702,0.06267556,2
-0.48998377,-0.04747742,1
-0.30749286,0.06144199,1
-0.00163602,0.16012436,2
0.25334376,0.16895607,2
0.45024078,0.06865127,3
0.62252026,-0.03661794,3
-0.04554008,0.12584583,2
0.12019546,0.4657887,2
-0.391543,-0.02601544,1
-0.42147136,-0.42735151,1
