x,y,k
0.00017127,0.00152364,1
-0.00166689,-0.00291389,1
0.00336751,-0.00152554,2
-0.00246766,0.00474235,2
0.00399466,0.00184887,2
-0.00035204,0.00217064,3
0.00333941,-0.00231364,2
-0.00324663,-0.00251132,2
-0.00225403,0.00158104,2
-0.00067149,-0.00096066,1
0.00136274,-0.00266375,1
-0.00168623,-0.00348012,1
0.00201487,0.00146907,2
-0.00273282,-0.00324367,2
-0.00083098,-0.00132359,3
0.00247763,0.00131761,3
0.0052687,-0.00245285,1
-0.00055711,0.00227381,2
-0.0011495,0.00107191,2
-0.00484425,0.00548996,1
-0.00135662,-0.00072273,1
-0.00299535,-0.00000442,2
0.0021976,0.00159697,2
-0.00028312,-0.00098672,2
0.00005929,-0.00081006,3
-0.00099733,-0.0009164,3
0.00149449,-0.00009923,2
0.00310196,-0.00027973,1
0.00041185,-0.00096348,1
-0.00160206,0.00357908,2
-0.00150589,0.0000755,1
0.0067822,0.00399382,1
-0.00358353,-0.00140504,2
0.00019059,-0.00293371,2
-0.0002753,0.00280469,3
0.000086,-0.00155807,3
-0.00093041,-0.00313893,2
0.00158535,0.00033272,2
-0.00094795,-0.00078752,1
-0.00096897,0.00212343,1
