x,y,k
-0.36273,-0.030033,1
-0.19789,-0.0148,1
-0.065335,-0.01565,2
0.11593,-0.0093495,2
0.11392,-0.0048668,2
0.50858,-0.22399,3
0.14191,0.01903,2
0.08757,0.01845,2
-0.028453,0.16469,2
-0.25295,-0.22607,1
-0.41439,-0.018989,1
-0.19405,-0.052646,1
0.031694,-0.043034,2
0.22841,-0.028479,2
0.36053,-0.091579,3
0.48534,-0.2129,3
-0.22019,0.013779,1
0.086222,0.1326,2
-0.13156,0.13148,2
-0.15095,0.050164,1
-0.44661,0.014165,1
-0.13405,0.059083,2
0.0093915,0.075822,2
0.21763,-0.013507,2
0.32761,-0.13456,3
0.4358,-0.19378,3
0.030914,0.25348,2
-0.16303,-0.14246,1
-0.15592,-0.052057,1
-0.051987,0.062676,2
-0.48998,-0.047477,1
-0.30749,0.061442,1
-0.001636,0.16012,2
0.25334,0.16896,2
0.45024,0.068651,3
0.62252,-0.036618,3
-0.04554,0.12585,2
0.1202,0.46579,2
-0.39154,-0.026015,1
-0.42147,-0.42735,1
