Day,Month,Years,Hour,Category,DayOfWeek,PdDistrict,Resolution                                                                        
3,9,2013,8,BURGLARY,Tuesday,INGLESIDE,NONE
27,10,2009,8,OTHER OFFENSES,Tuesday,BAYVIEW,NONE
11,6,2008,12,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
2,6,2013,21,VEHICLE THEFT,Sunday,MISSION,NONE
15,11,2008,11,ASSAULT,Saturday,TENDERLOIN,ARREST
29,6,2005,9,OTHER OFFENSES,Wednesday,NORTHERN,ARREST
13,11,2014,14,WARRANTS,Thursday,MISSION,ARREST
7,2,2007,10,NON-CRIMINAL,Wednesday,MISSION,NONE
15,6,2008,10,LARCENY\/THEFT,Sunday,CENTRAL,NONE
9,7,2007,13,NON-CRIMINAL,Monday,INGLESIDE,NONE
9,11,2009,13,LARCENY\/THEFT,Monday,MISSION,NONE
30,12,2005,17,VEHICLE THEFT,Friday,INGLESIDE,NONE
21,5,2005,17,NON-CRIMINAL,Saturday,TENDERLOIN,NONE
31,3,2003,10,OTHER OFFENSES,Monday,INGLESIDE,NONE
11,6,2007,12,OTHER OFFENSES,Monday,SOUTHERN,ARREST
31,10,2014,10,LARCENY\/THEFT,Friday,TARAVAL,NONE
21,2,2014,7,NON-CRIMINAL,Friday,CENTRAL,NONE
24,8,2013,1,LARCENY\/THEFT,Saturday,NORTHERN,NONE
7,2,2008,21,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST
17,5,2013,13,OTHER OFFENSES,Friday,BAYVIEW,ARREST
8,8,2008,23,VEHICLE THEFT,Friday,TARAVAL,NONE
15,12,2012,4,SUSPICIOUS OCC,Saturday,NORTHERN,ARREST
23,3,2006,22,VANDALISM,Thursday,BAYVIEW,NONE
3,4,2009,15,WARRANTS,Friday,TENDERLOIN,ARREST
12,2,2011,16,LARCENY\/THEFT,Saturday,MISSION,ARREST
14,5,2003,17,ASSAULT,Wednesday,BAYVIEW,NONE
26,1,2005,17,DRUG\/NARCOTIC,Wednesday,SOUTHERN,NONE
16,9,2013,21,ASSAULT,Monday,NORTHERN,NONE
17,5,2010,17,MISSING PERSON,Monday,BAYVIEW,LOCATED
26,7,2011,16,OTHER OFFENSES,Tuesday,PARK,ARREST
19,11,2006,1,BURGLARY,Sunday,MISSION,ARREST
22,7,2008,12,OTHER OFFENSES,Tuesday,INGLESIDE,ARREST
18,9,2013,9,ASSAULT,Wednesday,RICHMOND,NONE
4,2,2013,6,TRESPASS,Monday,TENDERLOIN,ARREST
10,1,2008,22,LARCENY\/THEFT,Thursday,TARAVAL,NONE
26,11,2014,19,VANDALISM,Wednesday,SOUTHERN,NONE
14,12,2008,13,STOLEN PROPERTY,Sunday,INGLESIDE,NONE
30,4,2008,0,FRAUD,Wednesday,CENTRAL,NONE
12,12,2004,0,VANDALISM,Sunday,PARK,NONE
1,9,2008,7,OTHER OFFENSES,Monday,INGLESIDE,ARREST
20,8,2013,21,LARCENY\/THEFT,Tuesday,BAYVIEW,NONE
17,11,2010,8,ASSAULT,Wednesday,MISSION,NONE
21,7,2003,19,WARRANTS,Monday,TARAVAL,ARREST
13,7,2005,20,ASSAULT,Wednesday,SOUTHERN,ARREST
20,11,2010,15,LARCENY\/THEFT,Saturday,CENTRAL,NONE
20,2,2003,15,WARRANTS,Thursday,TENDERLOIN,ARREST
29,7,2005,15,OTHER OFFENSES,Friday,PARK,ARREST
26,2,2005,1,BURGLARY,Saturday,NORTHERN,NONE
15,9,2008,13,DRUG\/NARCOTIC,Monday,TENDERLOIN,ARREST
24,3,2005,0,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST
6,4,2011,9,ASSAULT,Wednesday,TARAVAL,EXCEPTIONAL CLEARANCE
3,3,2014,9,NON-CRIMINAL,Monday,MISSION,PSYCHOPATHIC CASE
17,1,2010,18,ASSAULT,Sunday,NORTHERN,NONE
16,4,2003,0,FRAUD,Wednesday,SOUTHERN,NONE
15,10,2009,17,LARCENY\/THEFT,Thursday,CENTRAL,NONE
14,5,2003,12,NON-CRIMINAL,Wednesday,NORTHERN,NONE
21,8,2012,19,VANDALISM,Tuesday,SOUTHERN,NONE
20,12,2004,16,FORGERY\/COUNTERFEITING,Monday,TENDERLOIN,PROSECUTED BY OUTSIDE AGENCY
2,6,2012,17,LARCENY\/THEFT,Saturday,NORTHERN,NONE
21,9,2013,6,ASSAULT,Saturday,MISSION,COMPLAINANT REFUSES TO PROSECUTE
19,4,2015,13,SUSPICIOUS OCC,Sunday,INGLESIDE,NONE
20,10,2010,2,BURGLARY,Wednesday,CENTRAL,NONE
11,1,2003,1,OTHER OFFENSES,Saturday,SOUTHERN,ARREST
15,9,2009,12,LARCENY\/THEFT,Tuesday,MISSION,ARREST
28,1,2005,13,BURGLARY,Friday,MISSION,NONE
29,1,2005,20,NON-CRIMINAL,Saturday,MISSION,NONE
17,5,2005,1,DRUG\/NARCOTIC,Tuesday,SOUTHERN,ARREST
24,1,2007,17,RECOVERED VEHICLE,Wednesday,INGLESIDE,NONE
8,3,2014,18,SUSPICIOUS OCC,Saturday,BAYVIEW,NOT PROSECUTED
27,2,2011,15,LARCENY\/THEFT,Sunday,CENTRAL,NONE
18,8,2004,10,FRAUD,Wednesday,SOUTHERN,ARREST
15,12,2006,0,TRESPASS,Friday,CENTRAL,ARREST
26,7,2003,12,LARCENY\/THEFT,Saturday,INGLESIDE,NONE
20,9,2003,18,MISSING PERSON,Saturday,TARAVAL,NONE
4,4,2014,18,VEHICLE THEFT,Friday,RICHMOND,NONE
12,6,2013,22,LARCENY\/THEFT,Wednesday,NORTHERN,NONE
1,6,2003,19,ASSAULT,Sunday,INGLESIDE,NONE
12,11,2012,15,LARCENY\/THEFT,Monday,TENDERLOIN,ARREST
3,9,2009,10,NON-CRIMINAL,Thursday,SOUTHERN,NONE
15,1,2005,14,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST
22,4,2007,9,TRESPASS,Sunday,INGLESIDE,ARREST
20,2,2013,19,PROSTITUTION,Wednesday,MISSION,NONE
18,5,2012,17,SUSPICIOUS OCC,Friday,SOUTHERN,NONE
18,6,2010,11,SUSPICIOUS OCC,Friday,BAYVIEW,NONE
18,4,2009,2,VEHICLE THEFT,Saturday,SOUTHERN,NONE
24,7,2006,22,ASSAULT,Monday,BAYVIEW,NONE
13,11,2008,21,VEHICLE THEFT,Thursday,BAYVIEW,NONE
1,11,2012,1,LARCENY\/THEFT,Thursday,SOUTHERN,NONE
19,9,2007,9,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
11,1,2011,21,ASSAULT,Tuesday,SOUTHERN,UNFOUNDED
16,6,2006,18,VANDALISM,Friday,NORTHERN,NONE
3,4,2014,9,ASSAULT,Thursday,PARK,NONE
4,3,2013,18,LARCENY\/THEFT,Monday,SOUTHERN,NONE
3,11,2013,8,ROBBERY,Sunday,INGLESIDE,NONE
8,7,2009,18,VANDALISM,Wednesday,SOUTHERN,NONE
18,4,2003,11,FRAUD,Friday,SOUTHERN,NONE
21,2,2012,15,VANDALISM,Tuesday,INGLESIDE,NONE
10,2,2010,6,LARCENY\/THEFT,Wednesday,CENTRAL,NONE
12,7,2006,12,MISSING PERSON,Wednesday,TARAVAL,NONE
29,4,2014,13,OTHER OFFENSES,Tuesday,TARAVAL,ARREST
24,8,2005,13,LARCENY\/THEFT,Wednesday,NORTHERN,NONE
29,6,2014,13,LARCENY\/THEFT,Sunday,SOUTHERN,NONE
29,4,2015,10,LARCENY\/THEFT,Wednesday,NORTHERN,NONE
27,10,2008,18,LARCENY\/THEFT,Monday,MISSION,NONE
20,9,2010,12,FRAUD,Monday,SOUTHERN,NONE
6,2,2009,16,SUSPICIOUS OCC,Friday,NORTHERN,NOT PROSECUTED
14,5,2003,9,NON-CRIMINAL,Wednesday,SOUTHERN,NONE
11,12,2003,10,ASSAULT,Thursday,BAYVIEW,ARREST
2,12,2006,17,BURGLARY,Saturday,SOUTHERN,NONE
31,10,2012,14,SUSPICIOUS OCC,Wednesday,SOUTHERN,NONE
4,10,2011,13,DRUNKENNESS,Tuesday,TENDERLOIN,ARREST
11,2,2012,12,NON-CRIMINAL,Saturday,NORTHERN,NONE
26,1,2010,12,VEHICLE THEFT,Tuesday,CENTRAL,NONE
16,5,2007,8,BURGLARY,Wednesday,NORTHERN,NONE
27,4,2009,11,DRUG\/NARCOTIC,Monday,SOUTHERN,ARREST
7,8,2004,7,OTHER OFFENSES,Saturday,BAYVIEW,ARREST
