Dates,Time,Category,DayOfWeek,PdDistrict,Resolution                                                                        ,
03/09/2013,08:00:00,BURGLARY,Tuesday,INGLESIDE,NONE,
27/10/2009,08:00:00,OTHER OFFENSES,Tuesday,BAYVIEW,NONE,
11/06/2008,12:25:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
02/06/2013,21:15:00,VEHICLE THEFT,Sunday,MISSION,NONE,
15/11/2008,11:25:00,ASSAULT,Saturday,TENDERLOIN,ARREST,BOOKED
29/06/2005,09:49:00,OTHER OFFENSES,Wednesday,NORTHERN,ARREST,BOOKED
13/11/2014,14:18:00,WARRANTS,Thursday,MISSION,ARREST,BOOKED
07/02/2007,10:05:00,NON-CRIMINAL,Wednesday,MISSION,NONE,
15/06/2008,10:00:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
09/07/2007,13:00:00,NON-CRIMINAL,Monday,INGLESIDE,NONE,
09/11/2009,13:00:00,LARCENY\/THEFT,Monday,MISSION,NONE,
30/12/2005,17:30:00,VEHICLE THEFT,Friday,INGLESIDE,NONE,
21/05/2005,17:16:00,NON-CRIMINAL,Saturday,TENDERLOIN,NONE,
31/03/2003,10:25:00,OTHER OFFENSES,Monday,INGLESIDE,NONE,
11/06/2007,12:35:00,OTHER OFFENSES,Monday,SOUTHERN,ARREST,CITED
31/10/2014,10:00:00,LARCENY\/THEFT,Friday,TARAVAL,NONE,
21/02/2014,07:15:00,NON-CRIMINAL,Friday,CENTRAL,NONE,
24/08/2013,01:30:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
07/02/2008,21:10:00,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST,BOOKED
17/05/2013,13:45:00,OTHER OFFENSES,Friday,BAYVIEW,ARREST,CITED
08/08/2008,23:30:00,VEHICLE THEFT,Friday,TARAVAL,NONE,
15/12/2012,04:30:00,SUSPICIOUS OCC,Saturday,NORTHERN,ARREST,CITED
23/03/2006,22:30:00,VANDALISM,Thursday,BAYVIEW,NONE,
03/04/2009,15:32:00,WARRANTS,Friday,TENDERLOIN,ARREST,BOOKED
12/02/2011,16:55:00,LARCENY\/THEFT,Saturday,MISSION,ARREST,CITED
14/05/2003,17:55:00,ASSAULT,Wednesday,BAYVIEW,NONE,
26/01/2005,17:18:00,DRUG\/NARCOTIC,Wednesday,SOUTHERN,NONE,
16/09/2013,21:05:00,ASSAULT,Monday,NORTHERN,NONE,
17/05/2010,17:30:00,MISSING PERSON,Monday,BAYVIEW,LOCATED,
26/07/2011,16:15:00,OTHER OFFENSES,Tuesday,PARK,ARREST,BOOKED
19/11/2006,01:44:00,BURGLARY,Sunday,MISSION,ARREST,BOOKED} }
22/07/2008,12:25:00,OTHER OFFENSES,Tuesday,INGLESIDE,ARREST,CITED
18/09/2013,09:00:00,ASSAULT,Wednesday,RICHMOND,NONE,
04/02/2013,06:35:00,TRESPASS,Monday,TENDERLOIN,ARREST,CITED
10/01/2008,22:00:00,LARCENY\/THEFT,Thursday,TARAVAL,NONE,
26/11/2014,19:00:00,VANDALISM,Wednesday,SOUTHERN,NONE,
14/12/2008,13:00:00,STOLEN PROPERTY,Sunday,INGLESIDE,NONE,
30/04/2008,00:01:00,FRAUD,Wednesday,CENTRAL,NONE,
12/12/2004,00:01:00,VANDALISM,Sunday,PARK,NONE,
01/09/2008,07:55:00,OTHER OFFENSES,Monday,INGLESIDE,ARREST,BOOKED
20/08/2013,21:00:00,LARCENY\/THEFT,Tuesday,BAYVIEW,NONE,
17/11/2010,08:00:00,ASSAULT,Wednesday,MISSION,NONE,
21/07/2003,19:09:00,WARRANTS,Monday,TARAVAL,ARREST,BOOKED
13/07/2005,20:40:00,ASSAULT,Wednesday,SOUTHERN,ARREST,BOOKED
20/11/2010,15:00:00,LARCENY\/THEFT,Saturday,CENTRAL,NONE,
20/02/2003,15:03:00,WARRANTS,Thursday,TENDERLOIN,ARREST,BOOKED
29/07/2005,15:30:00,OTHER OFFENSES,Friday,PARK,ARREST,CITED
26/02/2005,01:00:00,BURGLARY,Saturday,NORTHERN,NONE,
15/09/2008,13:15:00,DRUG\/NARCOTIC,Monday,TENDERLOIN,ARREST,BOOKED
24/03/2005,00:17:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,BOOKED
06/04/2011,09:40:00,ASSAULT,Wednesday,TARAVAL,EXCEPTIONAL CLEARANCE,
03/03/2014,09:54:00,NON-CRIMINAL,Monday,MISSION,PSYCHOPATHIC CASE,
17/01/2010,18:00:00,ASSAULT,Sunday,NORTHERN,NONE,
16/04/2003,00:01:00,FRAUD,Wednesday,SOUTHERN,NONE,
15/10/2009,17:18:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
14/05/2003,12:00:00,NON-CRIMINAL,Wednesday,NORTHERN,NONE,
21/08/2012,19:50:00,VANDALISM,Tuesday,SOUTHERN,NONE,
20/12/2004,16:00:00,FORGERY\/COUNTERFEITING,Monday,TENDERLOIN,PROSECUTED BY OUTSIDE AGENCY,
02/06/2012,17:00:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
21/09/2013,06:20:00,ASSAULT,Saturday,MISSION,COMPLAINANT REFUSES TO PROSECUTE,
19/04/2015,13:35:00,SUSPICIOUS OCC,Sunday,INGLESIDE,NONE,
20/10/2010,02:47:00,BURGLARY,Wednesday,CENTRAL,NONE,
11/01/2003,01:38:00,OTHER OFFENSES,Saturday,SOUTHERN,ARREST,BOOKED
