Departure,Nationality,Destination,Year
NEDERLAND,DUTCH,BATAVIA,1847
BATAVIA,DUTCH,BROUWERSHAVEN,1848
CADIZ,SPANISH,MONTEVIDEO,1777
MONTEVIDEO,SPANISH,CADIZ,1777
LIMA,SPANISH,ESPANA (CADIZ?),1778
EL CALLAO,SPANISH,CADIZ,1778
EL CALLAO,SPANISH,CADIZ,1778
EL CALLAO,SPANISH,CADIZ,1778
EL CALLAO (LIMA),SPANISH,CADIZ,1778
CALLAO,SPANISH,CADIZ,1778
EL CALLAO,SPANISH,CADIZ,1778
CALLAO,SPANISH,CADIZ,1778
EL CALLAO DE LIMA,SPANISH,BAHIA DE CADIZ,1778
CADIZ,SPANISH,LISBOA-FERROL,1786
CADIZ,SPANISH,MONTEVIDEO,1789
BARCELONA,SPANISH,MARANON,1848
MARANON,SPANISH,BARCELONA,1848
BARCELONA,SPANISH,VERACRUZ,1849
BATAVIA,DUTCH,NEDERLAND,1827
CORK ,BRITISH,CARLISLE BAY BARBADOS,1807
ROAD TORN TORTOLA,BRITISH,THE DOWNS,1809
BOSTON,BRITISH,PLYMOUTH,1774
NEW YORK,BRITISH,PLYMOUTH,1776
JERSEY,BRITISH,NOVA SCOTIA,1777
ST JOHNS,BRITISH,CRUISING OFF GRAND BANKS,1777
ST JOHNS, NEWFOUNDLAND,BRITISH,SPITHEAD,1777
SPITHEAD,BRITISH,SPITHEAD (VIA FYAL),1800
ST JOHNS NEWFOUNDLAND,BRITISH,LISBON,1795
ST PIERRE BAY MARTINICO,BRITISH,ST JOHNS NEWFOUNDLAND,1795
SPITHEAD,BRITISH,TABLE BAY,1798
TABLE BAY,BRITISH,PORT LOUIS, MAURITIUS,1799
ST MARYS, MADAGASCAR,BRITISH,TABLE BAY,1800
SIMONS BAY,BRITISH,CHATHAM,1801
VLISSINGEN,DUTCH,NOORD AMERIKA,1846
NEW YORK,DUTCH,THE NETHERLANDS,1846
NEW YORK,DUTCH,THE NETHERLANDS,1848
CURACAO,DUTCH,ST. EUSTACIUS,1848
ST. EUSTACIUS,DUTCH,LA GUYARA,1849
CURACAO,DUTCH,SURINAME,1849
SURINAME,DUTCH,CURACAO,1850
CURACAO,DUTCH,NEDERLAND,1852
NIEUWEDIEP,DUTCH,KAAP DE GOEDE HOOP,1815
KAAP DE GOEDE HOOP,DUTCH,BATAVIA,1816
COASTAL EAST INDIA,DUTCH,COASTAL EAST INDIA,1816
