Departure,Nationality,Destination,Year
Nederland,Dutch,Batavia,1847
Batavia,Dutch,Brouwershaven,1848
CÁDIZ,Spanish,MONTEVIDEO,1777
MONTEVIDEO,Spanish,CÁDIZ,1777
LIMA,Spanish,ESPAÑA (CÁDIZ?),1778
EL CALLAO,Spanish,CADIZ,1778
EL CALLAO,Spanish,CÁDIZ,1778
EL CALLAO,Spanish,CÁDIZ,1778
EL CALLAO (LIMA),Spanish,CÁDIZ,1778
CALLAO,Spanish,CÁDIZ,1778
EL CALLAO,Spanish,CÁDIZ,1778
CALLAO,Spanish,CÁDIZ,1778
EL CALLAO DE LIMA,Spanish,BAHÍA DE CÁDIZ,1778
CÁDIZ,Spanish,LISBOA-FERROL,1786
CADIZ,Spanish,MONTEVIDEO,1789
BARCELONA,Spanish,MARAÑÓN,1848
MARAÑÓN,Spanish,BARCELONA,1848
BARCELONA,Spanish,VERACRUZ,1849
Batavia,Dutch,Nederland,1827
Cork ,British,Carlisle Bay Barbados,1807
Road Torn Tortola,British,The Downs,1809
Boston,British,Plymouth,1774
New York,British,Plymouth,1776
Jersey,British,Nova Scotia,1777
St Johns,British,cruising off Grand Banks,1777
St Johns, Newfoundland,British,Spithead,1777
Spithead,British,Spithead (via Fyal),1800
St Johns Newfoundland,British,Lisbon,1795
St Pierre Bay Martinico,British,St Johns Newfoundland,1795
Spithead,British,Table Bay,1798
Table Bay,British,Port Louis, Mauritius,1799
St Marys, Madagascar,British,Table Bay,1800
Simons Bay,British,Chatham,1801
Vlissingen,Dutch,Noord Amerika,1846
New York,Dutch,The Netherlands,1846
New York,Dutch,The Netherlands,1848
Curacao,Dutch,St. Eustacius,1848
St. Eustacius,Dutch,La Guyara,1849
Curaçao,Dutch,Suriname,1849
Suriname,Dutch,Curaçao,1850
Curaçao,Dutch,Nederland,1852
Nieuwediep,Dutch,Kaap de Goede Hoop,1815
Kaap de Goede Hoop,Dutch,Batavia,1816
Coastal East India,Dutch,Coastal East India,1816
Coastal East India,Dutch,Coastal East India,1816
Coastal East India,Dutch,Coastal East India,1816
Coastal East India,Dutch,Coastal East India,1816
Coastal East India,Dutch,Coastal East India,1816
Coastal East India,Dutch,Coastal East India,1816
Coastal East India,Dutch,Coastal East India,1817
Coastal East India,Dutch,Coastal East India,1817
Coastal East India,Dutch,Coastal East India,1817
Coastal East India,Dutch,Coastal East India,1817
Coastal East India,Dutch,Coastal East India,1817
Coastal East India,Dutch,Coastal East India,1817
