AA;1;DiegoRamirezIsland;-57;-69;;;;
AB;2;Cape Horn;-56;-67;;;;
AC;3;small isle, S-America;-55;-70;;;;
AD;4;Bay of Success;-55;-65;;;;
AE;5;South America east cape;-55;-64;;;;
AF;6;Cape Froward;-54;-71;;;;
AG;7;Cape St Diego;-54;-65;;;;
AH;8;Cape Pillar;-53;-75;;;;
AI;9;Point Possession;-53;-69;;;;
AJ;10;Cape Virgin Mary;-52;-68;;;;
AK;11;Port Egmont;-52;-58;;;;
AL;12;Bretts Harbour;-51;-65;;;;
AM;13;Eddystone, Falklands;-51;-64;;;;
AN;14;Cape Dolphin;-51;-59;;;;
AO;15;St Julian's;-49;-68;;;;
AP;16;Tapachoria;-49;-27;;;;
AQ;17;Port St Stephens, Chili (Isla Byron??);-48;-75;;;;
AR;18;La Darsena o Poza de los Martinez;-48;-66;;;;
AS;19;Cape Blanco, Patagonia;-47;-66;;;;
AT;20;Cape Cambell, New Zealand;-42;174;;;;
AU;21;St Paul island, Indian Ocean;-39;78;;;;
AV;22;Rio de la Plata;-38;-58;;;;
AW;23;Amsterdam;-38;78;;;;
AX;24;Talcaguana;-37;-73;;;;
AY;25;Cape St Anthony, Argentina;-37;-57;;;;
AZ;26;The Island of Tristian de Cuncha;-37;-12;;;;
BA;27;Buenos Aires;-35;-59;;;;
BB;28;Montevideo;-35;-56;;;;
BC;29;Cape St Mary, Rio de la Plata;-35;-54;;;;
BD;30;Cape Falso;-35;19;;;;
BE;31;Cap des Aiguilles (Cape Agulhas);-35;20;;;;
BF;32;Juan Fernandez, Chili (Juan Baustista);-34;-80;;;;
BG;33;Buffels Punt;-34;18;;;;
BH;34;Baai Fals;-34;19;;;;
BI;35;Cape Infanta;-34;21;;;;
BJ;36;Algoa;-34;26;;;;
BK;37;Botany Bay (Aus);-34;151;;;;
BL;38;Valparaiso;-33;-72;;;;
BM;39;Dasseneiland;-33;18;;;;
BN;40;Penguin Island, S Afr;-32;18;;;;
BO;41;Corana;-32;29;;;;
BP;42;Adiera D'Natall;-31;31;;;;
BQ;43;Saxemburgh;-30;-19;;;;
BR;44;Natal;-30;31;;;;
BS;45;Cape St Lucia;-29;32;;;;
BT;46;St Katherine's isl, Braz (Florianopolis);-28;-49;;;;
BU;47;St Catherine;-28;-48;;;;
BV;48;Ile de Paque;-27;-109;;;;
BW;49;Dallago Bay;-26;33;;;;
BX;50;Cape St Mary's, Madagascar;-26;45;;;;
BY;51;Adria Dira 1;-26;46;;;;
BZ;52;Cape Ramas;-25;47;;;;
CA;53;Cape Coriantes;-24;36;;;;
CB;54;Sandy Island;-24;43;;;;
CC;55;Avery Island;-24;44;;;;
CD;56;Rio de Janeiro;-23;-43;;;;
CE;57;Cape Frio;-23;-42;;;;
CF;58;Dellago Bay;-23;33;;;;
CG;59;Westminster Hall, Madagascar;-23;43;;;;
CH;60;Atabasta, W of Madacascar;-23;44;;;;
CI;61;Bassas;-22;40;;;;
CJ;62;Point St Felix;-22;43;;;;
CK;63;Hollandia Nova (W Australia);-22;113;;;;
CL;64;Island Trinadada;-21;-30;;;;
CM;65;Martin Vaz, S Atlantic (I. do Norte);-21;-29;;;;
CN;66;Reunion (Don Mascaron), Le Port;-21;55;;;;
CO;67;Don Mascaramus;-21;56;;;;
CP;68;Botal Jobaeo Jima, NE Formosa (Batan?);-21;122;;;;
CQ;69;Madagascar;-20;44;;;;
CR;70;Mount Brabant;-20;57;;;;
CS;71;Bourbon;-20;58;;;;
CT;72;Diego Bay (Rodrigues Isl?);-20;63;;;;
CU;73;Thrum Cap;-19;-139;;;;
CV;74;Arika;-19;-70;;;;
CW;75;Vavao (Pacific);-18;-174;;;;
CX;76;Georges Island;-18;-150;;;;
CY;77;Osnaburg Island;-18;-148;;;;
CZ;78;Bird Island, French Polynesia;-18;-143;;;;
DA;79;Bow Island;-18;-141;;;;
DB;80;Abrolhos;-18;-39;;;;
DC;81;Madagascar east coast;-18;44;;;;
DD;82;Bank of Pannacel;-18;45;;;;
DE;83;Tamatave;-18;49;;;;
DF;84;Ulietea;-17;-151;;;;
DG;85;Chain Island;-17;-146;;;;
DH;86;Christova;-17;43;;;;
DI;87;St Jean de Nova;-17;44;;;;
DJ;88;Port St Mary (Nosy Boraha), Madagascar;-17;50;;;;
DK;89;James Town;-16;-6;;;;
DL;90;Cape Correnties;-16;35;;;;
DM;91;Angora Island;-16;40;;;;
DN;92;S. Christo (off NE Madagascar);-16;44;;;;
DO;93;Madagascar Bay;-16;50;;;;
DP;94;Cape Mozambique;-15;41;;;;
DQ;95;Galleon I, Peru (I. de las Viejas);-14;-76;;;;
DR;96;Elephant Bay, Angola (Namibe);-14;12;;;;
DS;97;New Holland, W coast (Aus);-14;130;;;;
DT;98;Aller Heilige Baai;-13;-39;;;;
DU;99;Salvador/Bahia/Cape S Antoine, Brazil;-13;-38;;;;
DV;100;Camero;-13;43;;;;
DW;101;Callao;-12;-77;;;;
DX;102;Querimbo;-12;41;;;;
DY;103;Ioanna;-12;44;;;;
DZ;104;Cocos (Keeling) Isl;-12;97;;;;
EA;105;San Franciscos (river), Brazil;-11;-37;;;;
EB;106;Christmas Island;-11;106;;;;
EC;107;Quarmey;-10;-78;;;;
ED;108;Quiloa;-10;40;;;;
EE;109;Coepang;-10;124;;;;
EF;110;Anna Maria (Noahiwa);-9;-140;;;;
EG;111;Fort St Francisco;-9;13;;;;
